Id,SalePrice
1461,121120.2522302648
1462,163687.35206069527
1463,180347.28336251987
1464,184413.52171207487
1465,194323.26240160424
1466,170661.70565295042
1467,163510.0641892253
1468,164984.3242568131
1469,191838.43266331952
1470,124478.98679425982
1471,204958.54337318873
1472,96879.47785291038
1473,95778.31852434993
1474,154070.91785256888
1475,140470.76338392092
1476,412841.7066056044
1477,263710.64541015815
1478,309906.0210049572
1479,270690.6945425502
1480,472053.62719191867
1481,332465.9730881619
1482,210294.50841314933
1483,166722.4601282674
1484,173267.05062286474
1485,179871.89784296716
1486,192857.50392359897
1487,350833.383583083
1488,236901.08681899883
1489,201818.8580134549
1490,227442.55896323678
1491,192510.87378382354
1492,89292.52909229127
1493,186879.58473065676
1494,299406.99600232736
1495,296426.970794864
1496,234954.54066156308
1497,180087.2560371354
1498,167437.55561576673
1499,165869.52222256403
1500,143576.57980254272
1501,166318.90324603455
1502,165228.12077956993
1503,282411.6016853062
1504,228498.8318880452
1505,217679.9273660617
1506,187814.1186776087
1507,230885.6198592332
1508,186493.54472277523
1509,158341.0494277139
1510,143258.27861708606
1511,142014.14432525405
1512,178355.7293371499
1513,154130.7920738372
1514,171669.63073625363
1515,196765.74984148238
1516,164335.8861179936
1517,158580.76816441215
1518,143886.19177284508
1519,225868.05377646443
1520,136938.97046570657
1521,136026.62952694445
1522,171101.42933873736
1523,113948.34553925088
1524,123279.10072618345
1525,125261.32975121598
1526,124531.94561760065
1527,107641.76295075663
1528,134584.1507875759
1529,149153.26688959138
1530,185195.56841431584
1531,107742.3939505741
1532,104641.25999991129
1533,151980.80250483172
1534,120221.64390047963
1535,151449.3859133816
1536,113163.07219766539
1537,68109.1734643466
1538,182764.6263238291
1539,220244.1629180569
1540,91002.98399263759
1541,135861.33723263745
1542,132265.07824988276
1543,222965.58377942166
1544,79536.72168418435
1545,110268.5378735428
1546,126882.48006293795
1547,125320.01393898948
1548,131278.86624586335
1549,110150.33470237539
1550,137229.4358383492
1551,118932.36132604678
1552,132625.98155258235
1553,158700.35097252796
1554,111065.24871529819
1555,166663.47096331045
1556,72748.11469487342
1557,116871.89534320481
1558,95562.7899001366
1559,70938.82918234737
1560,133184.2485175677
1561,130913.46456726728
1562,129105.29332186186
1563,123332.8466633297
1564,158996.2963412512
1565,148467.42563709553
1566,224294.78213281697
1567,76180.29107692538
1568,213423.81223268618
1569,132862.10451641772
1570,141283.82806912114
1571,129353.87821367478
1572,148663.12550112413
1573,287810.46200333815
1574,114095.02306749958
1575,233419.7288241249
1576,219522.57138348254
1577,194926.90842885242
1578,150610.6875665898
1579,141189.64187609512
1580,190633.41043582093
1581,150089.81692310242
1582,127933.46218923714
1583,336033.79167457426
1584,227824.89550657768
1585,141365.55493256627
1586,83428.16087989279
1587,96063.90035718416
1588,152132.86046819383
1589,93886.66600488155
1590,136353.7832674396
1591,100592.96068604103
1592,120777.53734048459
1593,135087.81772838207
1594,120291.21105516134
1595,102493.76622885808
1596,243119.48672661354
1597,185596.48571170383
1598,210689.96120416906
1599,198929.96931231473
1600,191638.70962355673
1601,79786.81204112867
1602,113781.30392346505
1603,82711.87436202928
1604,281442.9368225897
1605,249779.11785999587
1606,162323.14217452492
1607,167624.86923263353
1608,222330.72302231076
1609,194323.53967782095
1610,146057.4724642042
1611,144996.8521887971
1612,174654.3842418607
1613,160401.48894715004
1614,128260.71169254647
1615,93704.07994489507
1616,72208.2833748236
1617,96136.65969749287
1618,126968.57050387657
1619,141117.8417480784
1620,146060.0445290059
1621,133376.3336745433
1622,143699.63094726502
1623,300227.4501570627
1624,210672.47011659163
